Metabolite,Smiles
23ddhb_c,O=C(O)C1=CC=CC(O)C1O
23dhbzs_c,O=C(NC(CO)C(=O)O)c1cccc(O)c1O
2agpe141_c,CCCCCCC=CCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[NH3+]
2agpe160_c,CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN
2agpg120_c,c
2dhp_c,CC(C)(CO)C(=O)C(=O)[O-]
2dmmql8_c,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(O)c2ccccc2c1O
2h3oppan_c,O=CC(O)C(=O)[O-]
2ohph_c,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cccc(O)c1O
2ombzl_c,COc1cc(O)cc(C/C=C(\\C)CC/C=C(\\C)CC/C=C(\\C)CC/C=C(\\C)CC/C=C(\\C)CC/C=C(\\C)CC/C=C(\\C)CCC=C(C)C)c1O
2omph_c,COc1cccc(C/C=C(\\C)CC/C=C(\\C)CC/C=C(\\C)CC/C=C(\\C)CC/C=C(\\C)CC/C=C(\\C)CC/C=C(\\C)CCC=C(C)C)c1O
3dhq_c,O=C1C[C@@](O)(C(=O)[O-])C[C@@H](O)[C@@H]1O
5aizc_c,Nc1c(C(=O)[O-])[nH+]cn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
acetol_c,CC(=O)CO
actp_c,CC(=O)OP(=O)([O-])[O-]
adp_c,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O
adprib_c,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
ahdt_c,Nc1nc2c(c(=O)[nH]1)N=C([C@H](O)[C@H](O)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])CN2
amet_c,C[S@@+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
ametam_c,C[S+](CCC[NH3+])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
btn_c,O=C([O-])CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
cdpdodecg_c,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OP(=O)([O-])OCC1OC(n2ccc(N)nc2=O)C(O)C1O)OC(=O)CCCCCCCCCCCCCCCCC
cdpdtdecg_c,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OP(=O)([O-])OCC1OC(n2ccc(N)nc2=O)C(O)C1O)OC(=O)CCCCCCCCCCCCC
cpe160_c,CCCCCCC1CC1CCCCCCCC(=O)N(CCOP(=O)([O-])OCC(O)CO)C(=O)CCCCCCCC1CC1CCCCCC
cpe180_c,CCCCCCC1CC1CCCCCCCCCC(=O)N(CCOP(=O)([O-])OCC(O)CO)C(=O)CCCCCCCCCC1CC1CCCCCC
cytd_c,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
datp_c,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O1
dcamp_c,O=C(O)C[C@H](Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O)C(=O)O
dgdp_c,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)[nH]1
dgtp_c,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)[nH]1
dhmpt_c,c
dhmptp_c,Nc1nc2c(c(=O)[nH]1)N=C([C@H](O)[C@@H](O)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])CN2
dhnpt_c,Nc1nc2c(c(=O)[nH]1)N=C(C(O)C(O)CO)CN2
